CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
39820,Redding,California,PM2.5,98th Percentile,1,29.0,29.0,40.0,16.0,18.0,19.0,29.0,17.0,97.0,20.0,10.0,16.0,17.0,18.0,14.0,20.0,13.0,32.0,103.0,23.0,66.0,106.0,40.5863563,-122.391675
40140,Riverside-San Bernardino-Ontario,California,CO,2nd Max,7,2.1,1.9,1.9,2.2,1.7,1.5,1.5,1.5,1.1,1.1,1.2,1.1,1.0,1.0,1.3,1.5,1.2,1.0,1.0,0.8,1.0,0.9,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,NO2,Annual Mean,10,23.0,23.0,23.0,21.0,19.0,20.0,19.0,18.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,NO2,98th Percentile,6,81.0,82.0,78.0,78.0,74.0,70.0,69.0,64.0,62.0,55.0,54.0,55.0,58.0,55.0,52.0,51.0,48.0,48.0,46.0,45.0,48.0,47.0,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,O3,4th Max,17,0.101,0.109,0.108,0.113,0.102,0.101,0.103,0.1,0.103,0.094,0.092,0.094,0.093,0.089,0.089,0.092,0.093,0.096,0.096,0.088,0.098,0.091,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,PM10,2nd Max,13,87.9,89.8,109.5,97.6,79.1,73.1,87.6,110.6,75.7,61.7,50.0,52.5,47.8,71.8,73.0,82.8,84.2,88.4,66.5,80.2,84.5,71.6,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,PM2.5,Weighted Annual Mean,5,19.9,21.0,19.9,17.9,16.7,15.2,14.3,14.8,12.1,11.5,9.8,10.3,10.4,10.2,9.8,9.4,9.9,10.0,9.8,9.3,11.0,10.6,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,PM2.5,98th Percentile,5,52.0,55.0,47.0,47.0,49.0,39.0,36.0,47.0,33.0,28.0,23.0,24.0,25.0,26.0,28.0,29.0,24.0,22.0,22.0,26.0,30.0,28.0,34.018895,-117.5589363
40140,Riverside-San Bernardino-Ontario,California,SO2,99th Percentile,2,11.0,10.0,10.0,9.0,9.0,12.0,11.0,10.0,7.0,8.0,10.0,9.0,7.0,6.0,5.0,5.0,5.0,16.0,5.0,6.0,4.0,4.0,34.018895,-117.5589363
40900,Sacramento--Roseville--Arden-Arcade,California,CO,2nd Max,1,4.6,5.0,3.5,3.8,2.8,3.3,3.0,2.8,2.1,2.2,1.5,2.2,1.8,2.1,1.7,1.9,1.7,1.6,3.3,1.2,2.0,1.1,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,NO2,Annual Mean,5,12.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,NO2,98th Percentile,3,53.0,56.0,59.0,56.0,49.0,47.0,49.0,46.0,48.0,41.0,43.0,41.0,41.0,41.0,38.0,38.0,36.0,33.0,35.0,34.0,31.0,28.0,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,O3,4th Max,12,0.088,0.088,0.092,0.089,0.079,0.087,0.091,0.08,0.089,0.083,0.077,0.077,0.082,0.071,0.074,0.074,0.077,0.073,0.076,0.067,0.073,0.075,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,PM10,2nd Max,4,64.0,65.3,60.3,49.0,68.0,60.5,63.8,58.5,74.5,42.8,42.5,49.0,35.3,50.5,36.3,39.6,36.8,62.3,162.8,54.0,119.5,50.3,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,Weighted Annual Mean,3,11.6,11.3,12.7,10.0,10.4,9.8,10.7,9.5,10.2,8.5,6.8,8.7,7.1,8.4,7.5,8.5,7.0,8.4,12.1,7.4,11.6,9.9,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,98th Percentile,3,43.0,46.0,45.0,31.0,33.0,33.0,37.0,37.0,32.0,25.0,22.0,31.0,17.0,25.0,19.0,24.0,19.0,31.0,65.0,24.0,46.0,31.0,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,SO2,99th Percentile,1,21.0,21.0,9.0,9.0,6.0,5.0,7.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,5.0,8.0,9.0,6.0,2.0,3.0,3.0,3.0,38.602265,-121.381746
41500,Salinas,California,CO,2nd Max,1,1.4,1.4,1.2,1.0,1.0,0.8,0.9,1.0,0.8,0.9,0.8,0.9,1.3,0.8,1.0,0.9,0.9,0.8,0.9,0.8,1.2,1.2,36.6744117,-121.655037
